"id","company_name","product"
1,"Ledger","Ledger Nano S"
2,"Ledger","Ledger Blue"
3,"Amplify Exchange","Amplify Brokerage"
4,"Canaan","Canaan Avalon 841"
5,"Canaan","Canaan Avalon 821"
6,"RTrade Technologies","Temporal"
7,"ShapeShift","KeepKey"
8,"Blockchain, Inc.","Blockchain Explorer"
9,"Blockchain, Inc.","Blockchain Wallet"
10,"Bitmain","Antminer T9+"
11,"Bitmain","Antminer Z9 mini"
12,"Bitmain","Antminer Z9"
13,"Bitmain","Antminer X3 (220 kH/s)"
14,"Bitmain","Antminer S9 (14 TH/s)"
15,"Bitmain","Antminer L3++ (580 MH/s)"
16,"Bitmain","Antminer L3+ (504 MH/s)"
17,"Bitmain","Antminer E3"
18,"Bitmain","Antminer D3 (19.3 GH/s)"
19,"Bitmain","Antminer D3"
20,"Omise","Omise"
21,"ZBG","ZBG App"
22,"ZB.com","ZB App"
23,"OpenCrowd","DragonGlass"
24,"EMURGO","Tangata Manu"
25,"EMURGO","Seiza"
26,"EMURGO","Yoroi Wallet"
27,"1xBit","1xBit"
28,"Binance","Trust Wallet"
29,"Binance","Binance App"
30,"Coinbase","Coinbase Wallet"
31,"Coinbase","Coinbase Pro"
32,"Coinbase","Coinbase App"
33,"Bitbuy","Bitbuy App"
34,"Circle","Circle Invest"
35,"ConsenSys","MetaMask"
36,"ConsenSys","uPort"
37,"Input Output","Yoroi Wallet"
38,"Input Output","Daedalus"
39,"Sky Mavis","Axie Infinity"
40,"Quadency","Quadency"
41,"SwissBorg","SwissBorg Wealth App"
42,"Dapper Labs","CryptoKitties"
